Fusion Strategy,Classifier,Accuracy,Precision,Recall,F1,ROC-AUC,DP_Gap_Gender,EOO_Gap_Gender,DI_Gender,DP_Gap_Ethnicity,EOO_Gap_Ethnicity,DI_Ethnicity
Baseline (Structured Only),LR,0.9665,0.9734,0.9583,0.9658,0.9966,0.0046,0.0008,0.9906,0.023,0.0075,0.9542
Baseline (Structured Only),RF,0.9365,0.9366,0.9347,0.9356,0.9866,0.011,0.0035,0.9778,0.0223,0.0031,0.956
Baseline (Structured Only),MLP,0.9654,0.9642,0.9659,0.965,0.9964,0.0039,0.0011,0.9921,0.0198,0.0053,0.9608
Early Fusion,LR,0.9637,0.9665,0.9599,0.9631979695431472,0.9959730630002417,0.0074,0.0058,0.9851,0.0205,0.0033,0.9594
Early Fusion,RF,0.814,0.7863,0.8562,0.8197780020181634,0.9038799725518195,0.0037,0.0068,0.9932,0.0478,0.0418,0.9149
Early Fusion,MLP,0.9377,0.9379,0.9359,0.9369065203629457,0.9875972701839973,0.009,0.016,0.982,0.0273,0.0127,0.9464
Late Fusion,LR,0.961,0.9596,0.9616,0.9606232891134976,0.9880273634466912,0.0035,0.0027,0.993,0.0217,0.0119,0.9571
Late Fusion,RF,0.9269,0.9181,0.9355,0.9267070369596994,0.9775988606782589,0.0124,0.0035,0.9757,0.0163,0.0232,0.9683
Late Fusion,MLP,0.9546,0.9476,0.9612,0.9543742151527836,0.9885996635653187,0.0087,0.0049,0.9828,0.0144,0.0158,0.9718
Weighted Hybrid Fusion,LR,0.6754,0.6623,0.7003,0.6807377049180328,0.7366426263574765,0.0386,0.0275,0.9288,0.0507,0.0354,0.9079
Weighted Hybrid Fusion,RF,0.6898,0.6806,0.7015,0.6908864438447166,0.7502018503907475,0.0228,0.0267,0.9562,0.0335,0.0123,0.936
Weighted Hybrid Fusion,MLP,0.6931,0.6776,0.723,0.69957169080155,0.7571744140174634,0.0425,0.0352,0.9225,0.049,0.027,0.9122
